"name","chart_template_id:id","id","note"
"Italia","chart_generic","it",
"Italia reverse charge","chart_generic","itrc",
"Regime Intra CEE vendite","chart_generic","intra","Tax exempt art.41 D.L. 331/93"
"Regime Extra CEE","chart_generic","estero","Tax exempt art. 8 c.1 DPR 633/72"
"Regime Extra CEE Autofattura","chart_generic","esteroau",
"Professionisti R.Acc. 20%","chart_generic","professionisti",
"Professionisti R.Acc. 23% sul 50%","chart_generic","agenti",
"Provvigioni R.Acc. 23% sul 20%","chart_generic","provvigioni",
"Italia detr. fisc. 50% IVA agev. 10%","chart_generic","detrazione50iva10","Spese per fini energetici detrazione fiscale del 65% Legge 296/2006 e succ. mod. D.L. 63 del 04.06.13. IVA agevolata ai sensi delle disposizioni della tabella A, parte III, allegata al dpr 633/72."
"Italia detr. fisc. 65% IVA agev. 10%","chart_generic","detrazione65iva10","Spese per fini energetici detrazione fiscale del 65% Legge 296/2006 e succ. mod. D.L. 63 del 04.06.13. IVA agevolata ai sensi delle disposizioni della tabella A, parte III, allegata al dpr 633/72."
"Italia detr. fisc. 65% IVA agev. 10% beni significativi","chart_generic","detrazione65iva488","Spese per fini energetici detrazione fiscale del 65% Legge 296/2006 e succ. mod. D.L. 63 del 04.06.13. IVA agevolata ai sensi delle disposizioni di cui alla legge 488/99."
"Italia IVA agev. 4%","chart_generic","iva04",
"Esportatori abituali art. 8 c. 1 lett. C","chart_generic","esport8c1c","Esente IVA art. 8 c.1 lett. C DPR 633/72"
